file                     format  type    num_seqs        sum_len  min_len  avg_len  max_len
01_20_B1_S13.R1.fq.gz    FASTQ   DNA    5,165,888    570,443,640       35    110.4      151
01_20_B2_S14.R1.fq.gz    FASTQ   DNA    2,828,302    318,622,385       35    112.7      151
02_002_A_S159.R1.fq.gz   FASTQ   DNA    5,608,329    623,005,169       35    111.1      151
02_003_A_S158.R1.fq.gz   FASTQ   DNA    5,757,405    635,798,166       35    110.4      151
02_004_A_S157.R1.fq.gz   FASTQ   DNA    1,603,505    173,920,281       35    108.5      151
02_005_A_S156.R1.fq.gz   FASTQ   DNA    2,347,678    259,173,139       35    110.4      151
02_006_A_S155.R1.fq.gz   FASTQ   DNA    1,255,228    135,556,345       35      108      151
02_007_A_S160.R1.fq.gz   FASTQ   DNA    5,704,723    644,188,026       35    112.9      151
02_008_A_S161.R1.fq.gz   FASTQ   DNA    7,808,691    850,589,943       35    108.9      151
02_011_A_S162.R1.fq.gz   FASTQ   DNA    6,050,392    669,979,849       35    110.7      151
02_012_A_S163.R1.fq.gz   FASTQ   DNA    3,488,688    377,308,876       35    108.2      151
02_013_A_S164.R1.fq.gz   FASTQ   DNA    4,143,169    467,679,719       35    112.9      151
02_014_A_S165.R1.fq.gz   FASTQ   DNA    6,104,883    667,485,044       35    109.3      151
02_014_B_S166.R1.fq.gz   FASTQ   DNA    4,332,775    480,021,562       35    110.8      151
02_015_A_S167.R1.fq.gz   FASTQ   DNA    7,964,160    874,548,666       35    109.8      151
02_015_B_S178.R1.fq.gz   FASTQ   DNA   21,993,584  2,439,773,939       35    110.9      151
02_016_A_S177.R1.fq.gz   FASTQ   DNA       96,508     10,708,325       35      111      151
02_019_A_S176.R1.fq.gz   FASTQ   DNA    8,890,262    972,366,227       35    109.4      151
02_019_B_S175.R1.fq.gz   FASTQ   DNA    1,018,996    109,406,298       35    107.4      151
02_020_A_S174.R1.fq.gz   FASTQ   DNA    3,062,501    324,697,368       35      106      151
02_021_A_S173.R1.fq.gz   FASTQ   DNA    7,298,547    821,068,280       35    112.5      151
02_023_A_S172.R1.fq.gz   FASTQ   DNA    6,539,654    697,091,597       35    106.6      151
02_026_A_S171.R1.fq.gz   FASTQ   DNA    7,461,156    804,769,197       35    107.9      151
02_029_A_S170.R1.fq.gz   FASTQ   DNA    5,596,395    609,119,142       35    108.8      151
02_029_B_S169.R1.fq.gz   FASTQ   DNA    9,582,101  1,053,198,037       35    109.9      151
02_030_A_S168.R1.fq.gz   FASTQ   DNA    1,125,327    123,662,137       35    109.9      151
025_001_A_S30.R1.fq.gz   FASTQ   DNA   13,441,685  1,435,722,800       35    106.8      151
025_003_A_S31.R1.fq.gz   FASTQ   DNA    4,489,680    509,075,688       35    113.4      151
03_001_B_S93.R1.fq.gz    FASTQ   DNA   11,066,599  1,214,455,530       35    109.7      151
03_008_B_S94.R1.fq.gz    FASTQ   DNA    7,783,106    880,608,957       35    113.1      151
04_003_B_S78.R1.fq.gz    FASTQ   DNA    3,968,935    422,953,081       35    106.6      151
05_001_A_S142.R1.fq.gz   FASTQ   DNA    6,984,157    737,165,525       35    105.5      151
05_005_A_S143.R1.fq.gz   FASTQ   DNA    6,617,577    702,205,791       35    106.1      151
05_007_A_S144.R1.fq.gz   FASTQ   DNA    4,198,828    435,451,429       35    103.7      151
05_008_A_S145.R1.fq.gz   FASTQ   DNA    5,399,021    565,980,612       35    104.8      151
06_004_A_S199.R1.fq.gz   FASTQ   DNA    3,048,347    324,117,999       35    106.3      151
06_004_B_S200.R1.fq.gz   FASTQ   DNA    9,618,332  1,033,379,360       35    107.4      151
06_007_A_S201.R1.fq.gz   FASTQ   DNA    2,288,202    244,645,724       35    106.9      151
06_014_A_S203.R1.fq.gz   FASTQ   DNA    2,775,520    299,761,288       35      108      151
06_05_A_S202.R1.fq.gz    FASTQ   DNA    1,237,457    130,501,765       35    105.5      151
07_001_A_S128.R1.fq.gz   FASTQ   DNA    5,019,347    555,389,973       35    110.6      151
07_002_A_S129.R1.fq.gz   FASTQ   DNA    3,237,145    351,768,859       35    108.7      151
07_003_A_S130.R1.fq.gz   FASTQ   DNA    1,962,708    207,763,577       35    105.9      151
07_004_A_S131.R1.fq.gz   FASTQ   DNA    6,475,169    714,255,581       35    110.3      151
